,English Name,Korean Name,Ingredients,Type,Video,ingredients_parsed
505,Dumpling soup,만두국,"['beef brisket', 'eggs', 'fish sauce', 'garlic', 'green onion', 'ground black pepper', 'large green onion', 'mandu', 'toasted sesame oil', 'water', '']","['beef', 'main dish', 'non spicy', 'soup']",https://youtube.com/watch?v=FZEBKjqzVdI,"['beef brisket', 'eggs', 'fish sauce', 'garlic', 'green onion', 'large green onion', 'mandu', 'toasted sesame oil', '']"
506,Octopus slices with sesame dipping sauce,문어숙회,"['kosher salt', 'octopus', 'toasted sesame oil', 'toasted sesame seeds', '']","['main dish', 'non spicy', 'seafood']",https://youtube.com/watch?v=69kNQqoTzvU,"['octopus', 'toasted sesame oil', 'toasted sesame seeds', '']"
507,Bulgogi stew in an earthenware pot,뚝배기불고기,"['beef tenderloin', 'carrot', 'edible chrysanthemum', 'eggs', 'enoki mushroom', 'fish sauce', 'garlic', 'green onion', 'ground black pepper', 'honey', 'hot pepper flakes', 'kosher salt', 'onion', 'radish sprouts', 'red chili pepper', 'skirt steak', 'soy sauce', 'sugar', 'sweet potato starch noodles', 'toasted sesame oil', '']","['beef', 'main dish', 'non spicy', 'side dish', 'spicy', 'stew', 'vegetarian']",https://youtube.com/watch?v=u6WdDa-0_pc,"['beef tenderloin', 'carrot', 'edible chrysanthemum', 'eggs', 'enoki mushroom', 'fish sauce', 'garlic', 'green onion', 'onion', 'radish sprouts', 'red chili pepper', 'skirt steak', 'sweet potato starch noodles', 'toasted sesame oil', '']"
508,Seasoned pan fried flatfish,가자미 양념튀김,"['flatfish', 'flounder', 'fluke', 'garlic', 'green onion', 'hot pepper flakes', 'kosher salt', 'rice syrup', 'sesame seeds', 'soy sauce', 'toasted sesame oil', 'vegetable oil', 'water', '']","['easy', 'main dish', 'seafood', 'side dish', 'spicy']",https://youtube.com/watch?v=P755nwQlArk,"['flatfish', 'flounder', 'fluke', 'garlic', 'green onion', 'rice syrup', 'sesame seeds', 'toasted sesame oil', '']"
509,Honey butter fried chicken,허니버터치킨,"['baking powder', 'butter', 'chicken', 'chicken wings', 'cooking oil', 'corn oil', 'eggs', 'flour', 'garlic', 'ground black pepper', 'honey', 'kosher salt', 'potato starch', 'pumpkin seeds', 'soy sauce', 'sugar', 'vegetable oil', '']","['chicken', 'fried chicken', 'main dish', 'non spicy', 'snack']",https://youtube.com/watch?v=KXajiO-30Ow,"['baking powder', 'butter', 'chicken', 'chicken wings', 'cooking oil', 'corn oil', 'eggs', 'garlic', 'potato starch', 'pumpkin seeds', '']"
510,Korean crab stew,꽃게탕,"['daikon radish', 'doenjang', 'dried anchovies', 'edible chrysanthemum', 'flower crab', 'garlic', 'gochujang', 'green chili pepper', 'green onion', 'hot pepper flakes', 'Korean radish', 'onion', 'red chili pepper', 'zucchini', '']","['main dish', 'seafood', 'spicy', 'stew']",https://youtube.com/watch?v=Q7tQiDTQzHs,"['daikon radish', 'doenjang', 'dried anchovies', 'edible chrysanthemum', 'flower crab', 'garlic', 'gochujang', 'green chili pepper', 'green onion', 'Korean radish', 'onion', 'red chili pepper', 'zucchini', '']"
511,Mushroom soup,버섯들깨탕,"['Asian chives', 'beef brisket', 'carrot', 'enoki mushroom', 'fish sauce', 'garlic', 'glutinous rice flour', 'kosher salt', 'mushrooms', 'onion', 'oyster mushrooms', 'perilla seeds powder', 'powdered toasted sesame seeds', 'shiitake mushrooms', 'sirloin steak', 'toasted sesame oil', '']","['beef', 'main dish', 'non spicy', 'side dish', 'soup']",https://youtube.com/watch?v=tvHKfNRKVUk,"['Asian chives', 'beef brisket', 'carrot', 'enoki mushroom', 'fish sauce', 'garlic', 'glutinous rice flour', 'mushrooms', 'onion', 'oyster mushrooms', 'perilla seeds powder', 'powdered toasted sesame seeds', 'shiitake mushrooms', 'sirloin steak', 'toasted sesame oil', '']"
512,Ox bone hangover soup,뼈해장국,"['doenjang', 'garlic', 'green chili pepper', 'green onion', 'hot pepper flakes', 'napa cabbage', 'ox bones', 'water', '']","['beef', 'main dish', 'non spicy', 'side dish', 'soup']",https://youtube.com/watch?v=o0JKPJkCMuI,"['doenjang', 'garlic', 'green chili pepper', 'green onion', 'napa cabbage', 'ox bones', '']"
513,Shrimp and Asian chive dumplings,새우 부추 만두,"['Asian chives', 'ground black pepper', 'hot pepper flakes', 'kosher salt', 'mandu skins', 'potato starch', 'shrimp', 'soft tofu', 'soy sauce', 'toasted sesame oil', 'toasted sesame seeds', 'vinegar', '']","['appetizer', 'easy', 'main dish', 'mandu', 'non spicy', 'seafood', 'snack']",https://youtube.com/watch?v=2KyR3rtrh9Y,"['Asian chives', 'mandu skins', 'potato starch', 'shrimp', 'soft tofu', 'toasted sesame oil', 'toasted sesame seeds', '']"
514,Spicy garlic fried chicken,깐풍기,"['chicken breast', 'corn oil', 'dried red chili pepper', 'eggs', 'garlic', 'ginger', 'grape seed oil', 'green chili pepper', 'green onion', 'ground black pepper', 'leek', 'onion', 'potato starch', 'red chili flakes', 'red chili pepper', 'rice syrup', 'soy sauce', 'sugar', 'toasted sesame oil', 'vegetable oil', 'vinegar', 'water', '']","['chicken', 'fried chicken', 'Korean Chinese', 'main dish', 'spicy']",https://youtube.com/watch?v=VjneaJ0hmgs,"['chicken breast', 'corn oil', 'dried red chili pepper', 'eggs', 'garlic', 'ginger', 'grape seed oil', 'green chili pepper', 'green onion', 'leek', 'onion', 'potato starch', 'red chili flakes', 'red chili pepper', 'rice syrup', 'toasted sesame oil', '']"
515,Red bean porridge,동지팥죽,"['azuki beans', 'glutinous rice flour', 'kosher salt', 'sugar', 'water', '']","['main dish', 'non spicy', 'one bowl meal', 'porridge', 'vegetarian']",https://youtube.com/watch?v=zU4KpvG_a1I,"['azuki beans', 'glutinous rice flour', '']"
516,Noodle soup,국수,"['dried anchovies', 'dried kelp', 'eggs', 'gim', 'gochujang', 'green onion', 'honey', 'kimchi', 'Korean radish', 'somyeon', 'thin noodles', 'toasted sesame oil', 'toasted sesame seeds', '']","['main dish', 'noodle', 'soup']",https://youtube.com/watch?v=ZRESBwsRS_U,"['dried anchovies', 'dried kelp', 'eggs', 'gim', 'gochujang', 'green onion', 'kimchi', 'Korean radish', 'somyeon', 'thin noodles', 'toasted sesame oil', 'toasted sesame seeds', '']"
517,Mung bean pancakes,빈대떡,"['eggs', 'fernbrake', 'garlic', 'ground black pepper', 'ground pork', 'kimchi', 'kosher salt', 'mung bean sprouts', 'mung beans', 'onion', 'shredded red pepper', 'soy sauce', 'sweet rice', 'toasted sesame oil', 'vegetable oil', 'vinegar', '']","['anju', 'appetizer', 'main dish', 'pancake', 'pork', 'side dish', 'snack']",https://youtube.com/watch?v=QJJawgzmgOk,"['eggs', 'fernbrake', 'garlic', 'ground pork', 'kimchi', 'mung bean sprouts', 'mung beans', 'onion', 'shredded red pepper', 'sweet rice', 'toasted sesame oil', '']"
518,Braised kimchi & pork,김치찜,"['gochujang', 'green onion', 'ground black pepper', 'honey', 'kimchi', 'onion', 'pork belly', 'rice syrup', 'shiitake mushrooms', 'soy sauce', 'toasted sesame oil', '']","['main dish', 'pork', 'side dish', 'spicy']",https://youtube.com/watch?v=1BTXGrW4rJM,"['gochujang', 'green onion', 'kimchi', 'onion', 'pork belly', 'rice syrup', 'shiitake mushrooms', 'toasted sesame oil', '']"
519,Multigrain rice,잡곡밥,"['barley', 'black sweet rice', 'brown sweet rice', 'short grain rice', '']","['main dish', 'non spicy', 'vegan', 'vegetarian']",https://youtube.com/watch?v=SB771cg5d08,"['barley', 'black sweet rice', 'brown sweet rice', 'short grain rice', '']"
